program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude
SRSRADIS,WORKING-STORAGE SECTION,MAIN,77,W-DEBUT,,W-DEBUT,X(08),,,,,'SRSRADIS',000006
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-RETOUR-LIB,,W-RETOUR-LIB,X(9),,,,,'EIBRESP->',000007
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-EIBFN-LIB,,W-EIBFN-LIB,X(9),,,,,' EIBFN ->',000008
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-EIBFN,,W-EIBFN,X(2),,,,,SPACES,000009
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-RETOUR,,W-RETOUR,S9(8) COMP,,,,,+0,000010
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-ITEM,,W-ITEM,S9(4) COMP,,,,,+1,000011
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-LONG-TYPED,,W-LONG-TYPED,,,,,,,000012
SRSRADIS,WORKING-STORAGE SECTION,MAIN,05,W-LONG-CALC,W-LONG-TYPED,W-LONG-TYPED/W-LONG-CALC,9(8) COMP,,,,,0,000013
SRSRADIS,WORKING-STORAGE SECTION,MAIN,05,FILLER,W-LONG-TYPED,W-LONG-TYPED/FILLER,,,,,W-LONG-CALC,,000014
SRSRADIS,WORKING-STORAGE SECTION,MAIN,10,FILLER,FILLER,W-LONG-TYPED/FILLER/FILLER,X(2).,,,,,,000015
SRSRADIS,WORKING-STORAGE SECTION,MAIN,10,W-LONG,FILLER,W-LONG-TYPED/FILLER/W-LONG,X(2).,,,,,,000016
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,01,SMASH,,SMASH,,,,,,,000018
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-L1,SMASH,SMASH/SMASH-L1,,,,,,,000019
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,FILLER,SMASH-L1,SMASH/SMASH-L1/FILLER,X(080),,,,,,000020
