program,section,source,root_name,level,full_path,nb_children,nb_children_used,has_occurs,has_88,used,usage_count_total,first_usage_line
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR-LIB,01,W-RETOUR-LIB,0,0,N,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBFN-LIB,01,W-EIBFN-LIB,0,0,N,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBFN,01,W-EIBFN,0,0,N,N,Y,1,000822
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR,01,W-RETOUR,0,0,N,N,Y,31,000410
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ITEM,01,W-ITEM,0,0,N,N,Y,9,000451
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,01,W-LONG-TYPED,4,3,N,N,Y,3,000449
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,01,SMASH,52,0,N,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,01,SMAD,23,3,N,N,Y,43,000868
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,01,SRSWFANO,17,8,N,N,Y,24,000431
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,01,W-SRCZ-MS,76,26,N,N,Y,23,000405
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,01,FAPPA-ENR,50,8,Y,N,Y,19,000423
SRSRADIS,WORKING-STORAGE SECTION,SRSTSRFI,SRFI-DONNEES,01,SRFI-DONNEES,8,0,Y,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSTSRVD,SRVD-DONNEES,01,SRVD-DONNEES,4,4,N,N,Y,26,000421
SRSRADIS,WORKING-STORAGE SECTION,SRSWFONC,WFONC-ENR,01,WFONC-ENR,7,2,N,N,Y,3,000629
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-SYSID,01,W-SYSID,0,0,N,N,Y,2,000397
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-APPLID,01,W-APPLID,0,0,N,N,Y,5,000396
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-TS-SRFI,01,W-TS-SRFI,3,1,N,N,Y,3,000448
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBTRNID,01,W-EIBTRNID,2,1,N,N,Y,4,000414
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ANO,01,W-ANO,0,0,N,N,Y,1,000400
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-PARAG,01,W-PARAG,0,0,N,N,Y,2,000411
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RESP,01,W-RESP,0,0,N,N,Y,2,000851
