program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude,used_direct,used,usage_count,first_usage_line
SRSRADIS,WORKING-STORAGE SECTION,MAIN,77,W-DEBUT,,W-DEBUT,X(08),,,,,'SRSRADIS',000006,Y,Y,1,000869
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-RETOUR-LIB,,W-RETOUR-LIB,X(9),,,,,'EIBRESP->',000007,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-EIBFN-LIB,,W-EIBFN-LIB,X(9),,,,,' EIBFN ->',000008,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-EIBFN,,W-EIBFN,X(2),,,,,SPACES,000009,Y,Y,1,000822
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-RETOUR,,W-RETOUR,S9(8) COMP,,,,,+0,000010,Y,Y,31,000410
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-ITEM,,W-ITEM,S9(4) COMP,,,,,+1,000011,Y,Y,9,000451
SRSRADIS,WORKING-STORAGE SECTION,MAIN,01,W-LONG-TYPED,,W-LONG-TYPED,,,,,,,000012,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,05,W-LONG-CALC,W-LONG-TYPED,W-LONG-TYPED/W-LONG-CALC,9(8) COMP,,,,,0,000013,Y,Y,1,000449
SRSRADIS,WORKING-STORAGE SECTION,MAIN,05,FILLER,W-LONG-TYPED,W-LONG-TYPED/FILLER,,,,,W-LONG-CALC,,000014,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,10,FILLER,FILLER,W-LONG-TYPED/FILLER/FILLER,X(2).,,,,,,000015,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,10,W-LONG,FILLER,W-LONG-TYPED/FILLER/W-LONG,X(2).,,,,,,000016,Y,Y,2,000454
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,01,SMASH,,SMASH,,,,,,,000018,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-L1,SMASH,SMASH/SMASH-L1,,,,,,,000019,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,FILLER,SMASH-L1,SMASH/SMASH-L1/FILLER,X(080),,,,,,000020,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-L2,SMASH,SMASH/SMASH-L2,,,,,,,000022,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,FILLER,SMASH-L2,SMASH/SMASH-L2/FILLER,X(004),,,,,,000023,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,SMASH-PROGA,SMASH-L2,SMASH/SMASH-L2/SMASH-PROGA,X(008),,,,,,000025,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-L3,SMASH,SMASH/SMASH-L3,,,,,,,000027,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,FILLER,SMASH-L3,SMASH/SMASH-L3/FILLER,X(004),,,,,,000028,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,SMASH-PROGB,SMASH-L3,SMASH/SMASH-L3/SMASH-PROGB,X(008),,,,,,000030,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,10,SMASH-MESS,SMASH-L3,SMASH/SMASH-L3/SMASH-MESS,X(080),,,,,,000032,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-COUNT,SMASH,SMASH/SMASH-COUNT,9(003),,,,,,000034,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-RETOUR,SMASH,SMASH/SMASH-RETOUR,9(008),,,,,,000036,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-STATUS,SMASH,SMASH/SMASH-STATUS,9(008),,,,,,000038,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-NBFI,SMASH,SMASH/SMASH-NBFI,9(004),,,,,,000040,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-ITEMSRVD,SMASH,SMASH/SMASH-ITEMSRVD,9(004),,,,,,000042,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-ITEMS,SMASH,SMASH/SMASH-ITEMS,9(004),,,,,ZERO,000044,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPTNIVEAU,SMASH,SMASH/SMASH-CPTNIVEAU,9(002),,,,,ZERO,000045,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPTTRAIT,SMASH,SMASH/SMASH-CPTTRAIT,9(002),,,,,ZERO,000046,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-MODAFFICH,SMASH,SMASH/SMASH-MODAFFICH,X(008),,,,,SPACE,000047,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-IDMS,SMASH,SMASH/SMASH-IDMS,X(008),,,,,SPACE,000048,N,N,0,
