program,section,source,root_name,name,full_path,level,pic,paragraph,nb_occurrences,nb_reads,nb_writes,nb_conditions,nb_io,usage_summary
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-APPLID,W-APPLID,W-APPLID,01,X(8).,100-INITIALISATION,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-SYSID,W-SYSID,W-SYSID,01,X(4).,100-INITIALISATION,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ANO-APPLI,W-ANO-APPLID,W-ANO-APPLI/W-ANO-APPLID,02,X(8).,100-INITIALISATION,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ANO,W-ANO,W-ANO,01,X(62),100-INITIALISATION,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ANO-APPLI,W-ANO-APPLI,W-ANO-APPLI,01,,100-INITIALISATION,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,10,,100-1-TEST-COMMAREA,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS2,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,10,X(79).,100-1-TEST-COMMAREA,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR,W-RETOUR,W-RETOUR,01,S9(8) COMP,100-1-TEST-COMMAREA,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-PARAG,W-PARAG,W-PARAG,01,X(5),100-1-TEST-COMMAREA,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBTRNID,W-EIBTRNID,W-EIBTRNID,01,,100-2-POSIT-HANDLE-ABEND,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBTRNID,W-EIBTRNID-3C,W-EIBTRNID/W-EIBTRNID-3C,05,X(3).,100-2-POSIT-HANDLE-ABEND,1,1,0,1,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,SRSTSRVD,SRVD-DONNEES,SRVD-DONNEES,SRVD-DONNEES,01,,100-3-INIT-MESS-SET-SRVD,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-CLE-TYPE,FAPPA-ENR/FAPPA-CLE/FAPPA-CLE-TYPE,10,X.,100-4-ECR-MESS-SET-DIFI,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-CLE-APPL,FAPPA-ENR/FAPPA-CLE/FAPPA-CLE-APPL,10,X(3).,100-4-ECR-MESS-SET-DIFI,1,0,1,0,0,W
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-CLE-APPL,FAPPD-ENR/FAPPD-CLE/FAPPD-CLE-APPL,10,X(3).,100-4-ECR-MESS-SET-DIFI,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-CLE,FAPPA-ENR/FAPPA-CLE,05,,100-4-ECR-MESS-SET-DIFI,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-ENR,FAPPA-ENR,01,,100-4-ECR-MESS-SET-DIFI,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR,W-RETOUR,W-RETOUR,01,S9(8) COMP,100-4-ECR-MESS-SET-DIFI,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR,W-RETOUR,W-RETOUR,01,S9(8) COMP,END-EXEC,20,20,0,10,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-PGM,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-PGM,10,X(08).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-ORDRE,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-ORDRE,10,X(10).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-FICHIER,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-FICHIER,10,X(08).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CLE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-CLE,10,X(40).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-CLE,FAPPA-ENR/FAPPA-CLE,05,,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CODE,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-CODE,10,9(04).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-REPERE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-REPERE,10,X(10).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1,05,,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,10,,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2,05,,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS2,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,10,X(79).,END-EXEC,2,0,2,0,0,W
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-NBFI,FAPPD-ENR/FAPPD-DONNEES/FAPPD-NBFI,10,S9(4) COMP.,END-EXEC,3,3,0,1,0,R+COND
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-CLE-TYPE,FAPPD-ENR/FAPPD-CLE/FAPPD-CLE-TYPE,10,X.,END-EXEC,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSFAPPA,FAPPA-ENR,FAPPA-SYSID-AOR,FAPPA-ENR/FAPPA-DONNEES/FAPPA-SYSID-LIST/FAPPA-SYSID-AOR,15,,END-EXEC,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-SYSID,W-SYSID,W-SYSID,01,X(4).,END-EXEC,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND01,W-IND01,W-IND01,01,9(4) COMP,END-EXEC,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND02,W-IND02,W-IND02,01,9(4) COMP,END-EXEC,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-TS-SRFI,W-SRFI-CODAPP,W-TS-SRFI/W-SRFI-CODAPP,05,X(3).,END-EXEC,1,0,1,0,0,W
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-CLE-APPL,FAPPD-ENR/FAPPD-CLE/FAPPD-CLE-APPL,10,X(3).,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,W-LONG-CALC,W-LONG-TYPED/W-LONG-CALC,05,9(8) COMP,END-EXEC,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ITEM,W-ITEM,W-ITEM,01,S9(4) COMP,END-EXEC,7,5,2,0,0,R+W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-TS-SRFI,W-TS-SRFI,W-TS-SRFI,01,,END-EXEC,2,2,0,0,0,R
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-DONNEES,FAPPD-ENR/FAPPD-DONNEES,05,,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,W-LONG,W-LONG-TYPED/FILLER/W-LONG,10,X(2).,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ABCODE,W-TYPAB,W-ABCODE/W-TYPAB,05,X.,END-EXEC,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ABCODE,W-ABEND,W-ABCODE/W-ABEND,05,9(3).,END-EXEC,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ABCODE,W-ABCODE,W-ABCODE,01,,END-EXEC,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICH,W-CTR-FICH,W-CTR-FICH,01,9(6),200-1-DETER-DISP,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICHF,W-CTR-FICHF,W-CTR-FICHF,01,9(6),W-CTR-FICHF,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND01,W-IND01,W-IND01,01,9(4) COMP,200-1-0-DETER-DISP,2,2,0,1,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND02,W-IND02,W-IND02,01,9(4) COMP,200-1-0-DETER-DISP,1,0,1,0,0,W
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-NBFI,FAPPD-ENR/FAPPD-DONNEES/FAPPD-NBFI,10,S9(4) COMP.,200-1-0-DETER-DISP,1,1,0,1,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND02,W-IND02,W-IND02,01,9(4) COMP,200-1-0-A-DETER-DISP,5,4,1,2,0,R+W+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND01,W-IND01,W-IND01,01,9(4) COMP,200-1-0-A-DETER-DISP,2,2,0,1,0,R+COND
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-FONCTIONS,FAPPD-ENR/FAPPD-DONNEES/FAPPD-FICHIERS/FAPPD-FONCTIONS,15,,200-1-0-A-DETER-DISP,1,1,0,0,0,R
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-CODFONC,FAPPD-ENR/FAPPD-DONNEES/FAPPD-FICHIERS/FAPPD-FONCTIONS/FAPPD-CODFONC,20,X.,200-1-0-A-DETER-DISP,1,1,0,1,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-AIG-FONC,W-AIG-FONC,W-AIG-FONC,01,9,200-1-0-A-DETER-DISP,1,0,1,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND01,W-IND01,W-IND01,01,9(4) COMP,200-1-0-B-DETER-DISP,3,3,0,3,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-IND02,W-IND02,W-IND02,01,9(4) COMP,200-1-0-B-DETER-DISP,3,3,0,3,0,R+COND
SRSRADIS,LINKAGE SECTION,SRSFAPPD,FAPPD-ENR,FAPPD-CODDISPO-FONC,FAPPD-ENR/FAPPD-DONNEES/FAPPD-FICHIERS/FAPPD-FONCTIONS/FAPPD-CODDISPO-FONC,20,9.,200-1-0-B-DETER-DISP,3,3,0,3,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICH,W-CTR-FICH,W-CTR-FICH,01,9(6),200-1-0-B-DETER-DISP,2,2,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,SRSTSRVD,SRVD-DONNEES,SRVD-DISPAPP,SRVD-DONNEES/SRVD-DISPAPP,05,9.,200-1-0-B-DETER-DISP,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,SRSTSRVD,SRVD-DONNEES,SRVD-DISPFIC,SRVD-DONNEES/SRVD-DISPFIC,05,X.,200-1-0-B-DETER-DISP,2,0,2,0,0,W
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICHF,W-CTR-FICHF,W-CTR-FICHF,01,9(6),200-1-0-B-DETER-DISP,1,1,0,0,0,R
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-AIG-FONC,W-AIG-FONC,W-AIG-FONC,01,9,200-1-1-DETER-DISP,1,1,0,1,0,R+COND
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-CTR-FICH,W-CTR-FICH,W-CTR-FICH,01,9(6),200-1-1-DETER-DISP,1,1,0,1,0,R+COND
