program,file,line_start,copybook,has_replacing,statement
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,52,SMASHTRC,NO,COPY SMASHTRC.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,55,SMASHDIW,NO,COPY SMASHDIW.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,60,SARFTERM,NO,COPY SARFTERM.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,200,SMASHDIP,NO,COPY SMASHDIP.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,68,SRSMA0,NO,COPY SRSMA0.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,71,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,72,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,224,SMASHDIP,NO,COPY SMASHDIP.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,68,SRSMA1,NO,COPY SRSMA1.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,71,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,72,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,220,SMASHDIP,NO,COPY SMASHDIP.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,67,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,70,SMASHTRC,NO,COPY SMASHTRC.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,73,SMASHDIW,NO,COPY SMASHDIW.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,84,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,86,SRSTSRA1,NO,COPY SRSTSRA1.
