scope,match_type,pattern,comment
ALL,NAME_EXACT,SMAD,Log
ALL,NAME_EXACT,SMAD-CMAP,Log
ALL,NAME_EXACT,SMAD-DCOD,Log
ALL,NAME_EXACT,SMAD-FGRP,Log
ALL,NAME_EXACT,SMAD-FGRP,Log
ALL,NAME_EXACT,SMAD-FILE,Log
ALL,NAME_EXACT,SMAD-FKEY,Log
ALL,NAME_EXACT,SMAD-GRP,DLog
ALL,NAME_EXACT,SMAD-INFO,Log
ALL,NAME_EXACT,SMAD-INQT,Log
ALL,NAME_EXACT,SMAD-INQX,Log
ALL,NAME_EXACT,SMAD-LOG,DLog
ALL,NAME_EXACT,SMAD-LOG,DLog
ALL,NAME_EXACT,SMAD-OPER,Log
ALL,NAME_EXACT,SMAD-PGM ,Log
ALL,NAME_EXACT,SMAD-RCOD,Log
ALL,NAME_EXACT,SMAD-RTYP,Log
ALL,NAME_EXACT,SMAD-STOR,Log
ALL,NAME_EXACT,SMAD-TRAN,Log
ALL,NAME_EXACT,SMAD-TSQI,Log
ALL,NAME_EXACT,SMAD-TSQL,Log
ALL,NAME_EXACT,SMAD-TSQN,Log
ALL,NAME_EXACT,SMAD-TTRA,Log
ALL,NAME_EXACT,SMAD-TYNC,Log
ALL,NAME_EXACT,SMAD-TYPA,Log
ALL,NAME_EXACT,SMAD-XPGM,Log
